substance,species,n_facts
봄 구근 식물(크로커스·아마릴리스·히아신스·수선화·튤립 등),all,1
"부기·복부 팽만(GDV, 고창증)",mammal,1
부동액,all,1
부러진 혈우(blood feather) 출혈,bird,1
부활절 백합(나팔나리),cat,1
붓꽃(아이리스),cat|dog,2
브로콜리,dog,1
블루베리,dog,1
비가공 생 동물성 간식,cat,1
비가공 생 동물성 간식(돼지 귀 등),dog,1
비료(골분·혈분·박쥐구아노 등),mammal,1
비비추(호스타),cat|dog,2
비소 — 조직 진단 기준,bird,1
비소(As) 중독,bird,1
비타민 A,cat|dog,4
비타민 A 과잉(hypervitaminosis A),bird,1
비타민 B1 (티아민),cat|dog,4
비타민 B12 (시아노코발아민),cat|dog,4
비타민 B2 (리보플라빈),cat|dog,4
비타민 B3 (니아신),cat|dog,4
비타민 B5 (판토텐산),cat|dog,4
비타민 B6 (피리독신),cat|dog,4
비타민 B7 (비오틴),cat,2
비타민 B9 (엽산),cat|dog,4
비타민 D,cat|dog,4
비타민 D 과잉(hypervitaminosis D),bird,1
비타민 E,cat|dog,4
비타민 K,cat,2
비타민 보충제,bird,1
비트펄프,all,1
비항응고성 살서제(인화아연·브로메탈린),bird,1
빛·그림자 쫓기·응시,dog,1
빠른 호흡(빈호흡),mammal,1
뼈(익힌 것·생것),cat|dog,3
사고야자 및 유사 소철류,mammal,1
사과,dog,2
사람 음식·식탁 남은 음식,cat|dog,2
사람용 미네랄워터,mammal,1
사람용 반찬·햄·소시지(염분),mammal,1
사람용 비스테로이드성 소염진통제(아스피린·이부프로펜·나프록센),all,1
사람용 의약품·보충제(아스피린·아세트아미노펜·이부프로펜·비타민 보충제),cat,1
사람용 진통제(이부프로펜·나프록센·아세트아미노펜),mammal,1
산세베리아,cat|dog,2
살서제(쥐약·쥐덫 미끼),mammal,1
살충제(유기인계·피레스로이드·비펜트린),mammal,1
새로운 과일의 첫 급여,dog,1
생 감자·싹이 난 녹색 감자,dog,1
생 어패류·갑각류(비타민 B1 분해효소),cat,1
생 어패류·갑각류(오징어·문어·마른오징어·게·새우),mammal,1
생 이스트 반죽,cat,1
생고기·생달걀·생뼈,mammal,2
생선(생식 — 송어·대구·청어·넙치·잉어 등),mammal,1
생콩·견과류,mammal,1
서성임·원 그리며 걷기·울타리 달리기,dog,1
"서양월계귀룽나무(체리로렐, HCN 기준)",dog,1
서양주목,dog,1
석유증류물(페인트 시너·미네랄 스피릿·등유·휘발유·모터오일 등),mammal,1
설탕,mammal,1
성장 에너지 요구량,cat|dog,5
세미스위트 다크 초콜릿,mammal,1
셀레늄,cat|dog,4
셀로움,mammal,1
소금,mammal,1
소금 블록(salt block),bird,1
소금(짠 음식),cat,1
소금·과도하게 짠 음식,mammal,1
소낭 세척(crop lavage),bird,1
소맥피(밀기울),all,1
소철(sago palm),bird,1
소철(사고팜),cat|dog,3
수국,cat|dog,2
수국(미국수국),cat|dog,2
수박,dog,2
수생 비참새목 조류의 RER 계수 K,bird,1
수선화,cat|dog,5
수유기 에너지 요구량,cat|dog,2
수은 — 조직 진단 기준,bird,1
수은(Hg) 중독,bird,1
수의학적 처치가 필요한 경우,all,1
수제 맥주용 홉,dog,1
쉐플레라(홍콩야자),cat|dog,2
스킨답서스(골든 포토스),cat|dog,2
스파티필럼(피스 릴리),cat|dog,3
스피루리나,all,1
슬로베리(진 담금용),dog,1
시금치,dog|mammal,2
시클라멘,cat|dog|mammal,3
식염(염화나트륨) — 고염 사료,bird,1
식염(염화나트륨) — 제설염 등 급성 노출,bird,1
식품 중독 의심 증상,dog,1
식품 포장 봉지(마일라 재질 과자·시리얼 봉지),dog,1
싱고니움,cat|dog,2
쌀겨(생미강),all,1
쌀밥,cat,1
썩은 사과(발효된 낙과),dog,1
아글라오네마,cat|dog,2
아까시나무(black locust),bird,1
아라키돈산 (오메가-6),cat|dog,4
아룸 이탈리쿰,dog,1
아르지닌,cat|dog,4
아마릴리스,cat|dog,3
아마릴리스(히페아스트룸),cat|dog,2
아마박,all,1
아미종실,all,1
아보카도,bird|cat|dog|mammal,9
아보카도(껍질·씨·잎),dog,1
아보카도(잎·과육·씨·나무껍질),bird|dog,2
아보카도(퍼신),bird,4
아세트아미노펜(타이레놀),cat,1
아세트아미노펜(파라세타몰),cat,1
아스파라거스 고사리,cat|dog,2
아시아틱 릴리,cat,1
아연,cat|dog,4
아연 — 혈청 진단 기준,bird,1
아연(Zn) 중독,bird,2
아연(zinc) 중독,bird,1
아이비(ivy) 일부 종,bird,1
아이비(서양송악),mammal,1
아이비(잉글리시 아이비),cat|dog,2
아이비(헤데라),cat|dog,2
아잘레아(그레이아노톡신),bird,1
안스리움,cat|dog|mammal,3
안정 시 에너지 요구량(RER) 계산식,all,1
안정 시 에너지 요구량(RER) 대체 계산식,all,1
알로에,cat|dog,2
알로에(알로에 베라),cat|dog,2
알로카시아,cat|dog,2
알리움류(양파·마늘·리크·차이브),cat,1
알코올,dog,1
알코올 음료,bird,1
알코올(에탄올),bird,1
알코올(주류·알코올 함유 식품),all|cat|mammal,4
알코올·생 이스트 반죽,cat|dog,2
알파-리놀렌산 (오메가-3),cat|dog,4
암모니아,bird,1
암모니아(암모늄 하이드록사이드),mammal,1
앞발·다리 강박 핥기·씹기,dog,1
앵무목 조류(Psittacine)의 RER 계수 K,bird,1
야생 버섯,dog,2
양파,all|cat|dog,8
양파(리크·차이브 포함),dog,1
양파·감자·마늘·리크·차이브,cat,1
양파·리크·샬롯·마늘·차이브(알리움류),cat|dog,2
양파·마늘(Allium),bird,3
양파·마늘·리크·부추(생·조리·분말 모두),mammal,1
양파·마늘·부추,mammal,1
양파·마늘·부추(Allium 속),mammal,1
어류기름(어유),all,1
어분(고단백),all,1
에센셜 오일(정유) 전반 — 반려조 피부 도포,bird,1
에센셜 오일(티트리·유칼립투스·페퍼민트·시트러스),bird,1
에어로졸 제품(헤어스프레이·데오도런트·방향제·스프레이 세정제·살충제·스프레이 페인트),bird,1
에탄올(주류),mammal,1
에틸렌글리콜(부동액),cat|dog,2
연기(담배·마리화나·매연·자가세척 오븐·조리 연기),bird,1
염소,cat|dog,4
염자(제이드 플랜트),cat|dog,2
"영양밀도(단위/1,000kcal) 환산식",mammal,1
옆구리·천 빨기,dog,1
예스터데이 투데이 앤 투모로우(만데빌라계 브룬펠시아),all,1
오존 발생·이온식 공기청정기,bird,1
옥수수,all,1
옥수수 속대,dog,1
옥수수글루텐밀,all,1
요소(urea),bird,1
요오드,cat|dog,4
우유(모유 대용),mammal,1
우유·유제품,cat|mammal,3
우유·유제품(유당 불내성),cat,1
울혈성 심부전(호흡곤란의 원인),mammal,1
원추리(데이릴리),cat,1
원추리류(Orange Day Lily),cat,1
"월계수(laurel, 그레이아노톡신)",bird,1
위장관 폐색을 일으키는 이물(아보카도 씨·옥수수속대·뼈),all,1
위험물 섭취 의심,all,1
유독 가스·연기 노출,bird,1
유제품(유당),bird,2
유지 에너지 요구량,cat|dog,5
유지 에너지 요구량(MER),all,1
유해물질 섭취 의심,all,1
육골분,all,1
육두구,dog,1
육상 비참새목 조류의 RER 계수 K,bird,1
은방울꽃,cat|dog|mammal,4
은방울꽃(lily of the valley),bird,1
응급 여부를 판단하기 어려운 경우,mammal,1
의식소실,all,1
이소루신,cat|dog,4
이소프로필알코올(소독용 알코올),mammal,1
이스트 반죽,dog,1
이스트 제품(발효 생 빵 반죽),all,1
익힌 뼈,cat|dog,2
인,cat|dog,4
임의 구토 유발(금지),all,1
자일리톨,bird|cat|dog|mammal,11
자일리톨(무설탕 껌·사탕·기침시럽·구강청결제·치약),all,1
자일리톨(무설탕 사탕·껌·치약),mammal,1
자일리톨(무설탕 캔디),bird,2
저구리 처방식(Hill's l/d · Royal Canin Hepatic Support),dog,1
저철분 식이(로리·로리키트·투칸·구관조),bird,1
저체온(보온 부족),bird,1
접착제(디이소시아네이트 계열),mammal,1
정제 곡물(흰쌀·흰빵·파스타),bird,1
종결된 리콜(Terminated Recall)의 정의,all,1
주목,all|dog|mammal,3
주목(yew),bird,1
"주목(yew, 탁신)",bird,1
주목(일본주목),cat|dog,2
중국부추,dog,1
중금속 상승작용(복합 노출),bird,1
중금속 중독 의심 징후,bird,1
중금속 킬레이션 치료(Ca-EDTA),bird,1
중금속(수은·카드뮴·구리·비소),bird,1
중금속의 조직 잔류·비생분해성,bird,1
중독 의심 시 노출원에서 분리,all,1
중독 의심 시 대응(독성물질 섭취),cat,1
중독 의심 시 상태 확인(호흡·행동),all,1
중독 의심 시 응급 대응(자가 구토 유도 금지),dog,1
중독 의심 시 중독관리센터 연락,all,1
쥐약(살서제),all,1
지나치게 단단한 츄(사슴뿔·발굽 등)·날카로운 모서리 간식,dog,1
지방,cat|dog,4
지방 많은 고기·비계,dog,1
지속적 구토·설사,mammal,1
지속적인 호흡곤란,mammal,1
진달래·철쭉류(로도덴드론),cat|dog,2
진달래·철쭉류(만병초·마운틴 로렐·일본 피에리스),all,1
진달래·철쭉류(아잘레아),cat|dog,3
질병 보정계수(illness factor) 적용,all,1
질병 징후(조기 인지),bird,1
짠 과자(감자칩·프레첼 등),dog,1
차(카페인·테오필린),mammal,1
차이브,mammal,1
참새목 조류(Passerine)의 RER 계수 K,bird,1
창백하거나 변색된 잇몸,mammal,1
천식(호흡곤란의 원인),mammal,1
철,cat|dog,4
청소용품 흡입 노출,mammal,1
체리,dog,2
체중별 1일 간식 허용 열량(성묘),cat,1
초콜릿,all|cat|mammal,4
초콜릿(테오브로민),bird|cat|dog,6
초콜릿(테오브로민+카페인),dog,3
초콜릿(테오브로민·카페인),bird|cat,4
초콜릿·카페인,bird,1
초콜릿·카페인(메틸잔틴),mammal,1
초콜릿·커피·카페인(메틸잔틴),mammal,1
출혈·외상,mammal,1
췌장염 예후,cat,1
췌장염 진단(fPLI 검사·초음파),cat,1
췌장염 치료(수액·항구토·진통·영양 지원),cat,1
췌장염(고양이),cat,1
췌장염과 연관된 질환(만성 장질환·간 및 담낭 질환·당뇨병),cat,1
췌장염의 조기 영양 지원,cat,1
카네이션,cat|dog,3
카드뮴 — 조직 진단 기준,bird,1
카드뮴(Cd) 중독,bird,1
카카오빈 껍질 정원 멀치,dog,1
카페인 음료(커피·차·에너지드링크),cat|dog,2
카페인 정제·카페인 함유 미끼,dog,1
카페인(커피·차·탄산음료·에너지음료),all,1
칼라(카라·칼라 릴리),cat|dog|mammal,3
칼라디움,cat|dog,2
칼랑코에,bird|cat|dog,4
칼륨,cat|dog,4
칼슘,cat|dog,4
칼슘/인 비율,cat|dog,4
커런트(건조 카시스),dog,1
커피(카페인),bird|mammal,2
커피·녹차·홍차(카페인),mammal,1
커피·카페인 제품(차 포함),cat,1
컴프리(comfrey),bird,2
콜린,cat|dog,4
콜키쿰(가을크로커스),cat|dog,2
크라운 베치,bird,2
크로커스,mammal,1
크리스마스 로즈(헬레보루스),cat|dog,2
클레마티스,bird,1
클레마티스(으아리류),mammal,1
킬레이션 치료(CaEDTA·DMSA·D-페니실라민),bird,1
타닌 함유 식물,bird,1
타우린(건사료),cat,2
타우린(통조림 사료),cat,2
테플론 중독 의심 시 응급 조치,bird,1
토란(콜로카시아),cat|dog,2
토마토,cat|dog,2
튤립,cat|dog,4
트레오닌,cat|dog,4
트립토판,cat|dog,4
티트리 오일 중독 — 특이 해독제 없음,bird,1
티트리 오일(멜라루카 오일),bird,1
티트리 오일(멜라루카 오일) 피부 도포,bird,1
파슬리,bird,1
패분,all,1
퍼메트린 함유 개·토끼용 구충제,cat,1
페놀,mammal,1
페놀계 세정제(라이솔·파인솔),bird,1
페닐알라닌,cat|dog,4
페닐알라닌+티로신,cat|dog,4
폐렴(호흡곤란의 원인),mammal,1
포도,dog,3
포도 껍질,dog,1
포도 및 마크(착즙 잔재),dog,1
"포도(생과, 알 단위)",dog,1
포도·건포도,all|cat|dog|mammal,8
포도·건포도(혼합 섭취),dog,1
포도·건포도·설타나·커런트,cat,1
포도·건포도·커런트·설타나,cat|dog,2
포도류(포도·청포도·샤인머스켓·건포도),dog,1
포름알데히드,mammal,1
포뮬러 사료(펠릿),bird,1
포인세티아,bird|cat|dog,6
표면 강박 핥기,dog,1
표백제(차아염소산나트륨),bird,1
표백제·염소(차아염소산나트륨),mammal,1
피마자(아주까리),cat|dog,2
피마자씨(castor bean),bird,1
필로덴드론,bird|cat|dog,4
하트리프 필로덴드론,cat|dog,2
항응고성 살서제(쥐약),bird,1
핵과 씨앗·사과씨(시안화물),bird,2
행운목(드라세나 프라그란스),cat|dog,2
향초·왁스멜트·인센스·플러그인 방향제(VOC),bird,1
허공 물기(파리 물기),dog,1
혀·잇몸의 보라색 변색과 허탈,mammal,1
현미(재고미),all,1
협죽도,cat|dog,3
협죽도(oleander),bird,2
호랑가시나무(미국 홀리),cat|dog,2
호박(순수 퓨레·구운 호박),dog,1
호흡곤란,all|mammal,2
호흡곤란에 동반된 안절부절(자세 불안),mammal,1
호흡곤란에 동반된 열사병(고체온),dog,1
혼수·무반응 상태,bird,1
홉,dog,2
화상,bird,1
화이트 초콜릿,mammal,1
활동량별 일일 에너지 요구량,dog,1
활성탄(흡착제),bird,1
후두 질환(후두마비),mammal,1
흉막 질환(폐와 흉벽 사이의 액체 또는 공기),mammal,1
히스티딘,cat|dog,4
히아신스,cat|dog,4
히아신스·튤립(특히 구근),all,1
