substance,species,n_facts
'천연·안전' 표방 허브 제품,bird,1
Albright's Chicken Recipe for Dogs(리콜),dog,1
Breeder's Edge · Shelter's Choice 개용 대용유(리콜),dog,1
"Breeder's Edge · Shelter's Choice 개용 대용유(리콜, 2026-04-17)",dog,1
DMSA 과량(디메르캅토숙신산),bird,1
EPA+DHA (오메가-3),cat|dog,4
"Elite Treats 닭고기 개 간식(리콜, 종결)",dog,1
EmerAid IC Carnivore(회복기 유동식),all,1
EmerAid IC Herbivore(회복기 유동식),all,1
EmerAid IC Omnivore(회복기 유동식),all,1
Harrison's Recovery Formula(회복기 사료),all,1
Kaytee Exact Hand-Feeding(이유식용 사료),all,1
Neogen Vet HYCOAT® Hyaluronate Sodium Sterile Solution(리콜),all,1
PTFE(테플론) 과열 흄,bird,2
PTFE(테플론) 흄,bird,1
PTFE(폴리테트라플루오로에틸렌) 과열 흄,bird,1
PTFE·PFOA 논스틱 조리기구 흄,bird,1
Pedigree High Protein Chopped Chicken & Duck Flavor 습식 개 사료(리콜),dog,1
Quest Cat Food Chicken Recipe Freeze Dried Nuggets 10oz(리콜),cat,1
Quest Cat Food Chicken Recipe Frozen(리콜),cat,1
Raaw Energy 개 사료(리콜),dog,1
Steve's Real Food Freeze Dried Chicken Recipe 개·고양이 동결건조 사료(리콜),mammal,1
가금내장분(CP>70%),all,1
가정 내 구토 유도(중독 의심 시),cat,1
가정 내 임의 처치(금지),all,1
가정 내 해독제 임의 투여(금지),all,1
가정용 청소용품(공통),mammal,1
가정용 화학물질(부동액·표백제·세제·제빙염 등),mammal,1
가정용 화학물질(살충제·살서제·비료·제초제·달팽이 유인제·에틸렌글리콜 부동액·페인트 시너·수영장 약품·표백제·세제·소독제),cat,1
가지과 식물체(녹색 토마토·감자·고추·가지),bird,2
간(레버),cat,1
간식 급여 원칙(식사 대체 금지·질식 예방·감독),cat,1
간식 총량(1일 섭취 열량 대비),cat|dog,2
간효소 상승(AST·CK·LDH),bird,1
감귤류(레몬·자몽·라임),dog,1
감귤류(줄기·잎·껍질·과육·씨),mammal,1
갑작스러운 행동 변화,mammal,1
강박 행동에 동반된 응급 상황(자해·이물 삼킴·발작 유사),dog,1
강박 행동의 의학적 감별 원인,dog,1
강박장애(CCD),dog,1
강심배당체 함유 식물(디기탈리스·은방울꽃·칼랑코에·마더오브밀리언즈·협죽도),all,1
개용 벼룩 구제제(고양이 금기),cat,1
개운죽(럭키뱀부),cat|dog,2
거저리유충,all,1
거짓 곰보버섯(Gyromitra),bird,2
건포도,dog,3
겨우살이(미국 겨우살이),cat|dog,2
견과류(아몬드·피칸·호두),mammal,1
고구마(건조),all,1
고양이 교상,bird,1
고양이에게 흔히 주는 사람 음식의 에너지 밀도,cat,1
고양이의 개구호흡(팬팅),cat,1
"고열(hyperthermia, 과열)",bird,1
고열량 간식·츄(껌뼈·말린 돼지 귀 등),dog,1
고지방·고염분·고당분 식품,bird,3
골절,bird,1
곰팡이 독소(마이코톡신),bird,1
곰팡이 핀 땅콩·곡물(진균 독소),bird,2
곰팡이가 피거나 상한 음식,dog,1
과급여(overfeeding),all,1
과라나 함유 허브 보충제,dog,1
과일을 포함한 간식 총량,dog,1
구강·비강 출혈,bird,1
구리,dog,4
구리 간병증 식단에서 제한하는 식품(내장육·복합곡물·조개류·버섯·녹색잎채소),dog,1
구리 제한 자가조리 식단(약 300 kcal · Balance It® Canine-Cu 병용),dog,1
구리(건사료),cat,2
구리(통조림 사료),cat,2
구토,bird,1
구토 유도(최토),bird,1
국화,cat|dog,4
군자란(클리비아),cat|dog,2
권장 영양소 함량의 전제 에너지 섭취량,mammal,1
귀리(연맥),all,1
귀리피,all,1
그릿(grit),bird,3
글라디올러스,cat|dog,2
글로리오사(화염백합),cat|dog,2
금속 이물 섭취(방사선 불투과성 이물),bird,1
기저질환·식이 민감증·처방식 급여 중인 고양이의 간식,cat,1
기초대사율(BMR),all,1
깃 고르기(preening)에 의한 경구 재노출,bird,1
꼬리 쫓기·제자리 돌기,dog,1
꼬치(나무·금속 스큐어),dog,1
나트륨,cat|dog,4
나팔꽃,cat|dog,2
난각분,all,1
난관 폐색(egg binding),bird,1
날달걀(아비딘),mammal,1
남조류 독소(마이크로시스틴·삭시톡신·도모산),bird,1
남천,cat|dog,2
남천(HCN 기준),mammal,1
남천(베르베린),cat,1
납 — 혈중 진단 기준,bird,1
납(Pb) 중독,bird,2
납(lead) 중독,bird,1
논스틱(PTFE) 코팅 조리기구·가전,bird,1
뇌진탕(벽·창문 충돌),bird,1
눈 부상,mammal,1
니코틴(담배·전자담배·니코틴 껌/패치),bird,1
단백질,cat|dog,4
닭기름(계유),all,1
담배 연기(실내 흡연),bird,1
담배 제품(전자담배·리필액 포함),all,1
담쟁이덩굴(Virginia Creeper),bird,1
당근,dog,1
대두(콩),all,1
대두박,all,1
대두유,all,1
대두피,all,1
대마(마리화나),dog,1
대마초(마리화나),bird,1
대사에너지 계산식(1단계 총에너지),mammal,1
대사에너지 계산식(2단계 에너지 소화율),cat|dog,2
대사에너지 계산식(3단계 가소화에너지),mammal,1
대사에너지 계산식(4단계 대사에너지),cat|dog,2
대사에너지 방정식(원료 기반),cat|dog,2
대황 잎,dog,1
대황 잎 및 유사 옥살산 함유 식물(괭이밥·사워스타프루트 등),all,1
대황 잎(옥살산 결정),bird,2
도토리·참나무 잎(타닌),bird,1
독성 관엽식물 섭취,bird,1
독성물질 노출 시 대응(구토 유발 전 확인),mammal,1
동애등에 유충,all,1
드라세나,cat|dog,2
드라세나 마지나타,cat|dog,2
디기탈리스(폭스글러브),bird,1
디기탈리스(폭스글로브),cat|dog,2
디에틸렌글리콜(브레이크액),mammal,1
디클로페낙(NSAID),bird,1
디펜바키아,bird|cat|mammal,3
디펜바키아 및 유사 천남성과 식물(포토스·스킨답서스·쉐플레라·스파티필럼),all,1
디펜바키아(덤케인),cat|dog,2
라이신,cat|dog,4
라즈베리,dog,1
란타나,dog,1
로도덴드론(그레이아노톡신),bird,1
로도덴드론(진달래속),bird,2
루핀(lupine),bird,1
류신,cat|dog,4
리놀레산 (오메가-6),cat|dog,4
리크(서양대파),mammal,1
마그네슘,cat|dog,4
마늘,all|dog|mammal,5
마른멸치·김,mammal,1
마리화나(대마),all,2
마모·손상된 논스틱 조리기구,bird,1
마비·심한 쇠약,mammal,1
마취목(피어리스),cat|dog,2
마카다미아,dog,7
마카다미아 너트,all,1
마카다미아넛,dog,2
망간,cat|dog,4
망고,dog,2
멀구슬나무,dog,1
메치오닌,cat|dog,4
메치오닌+시스틴,cat|dog,4
메탄올(워셔액),mammal,1
모든 진짜 백합류,cat,1
몬스테라,cat|dog,2
무가당 베이킹 초콜릿·코코아 파우더,mammal,1
무반응·의식 변화,mammal,1
미슬토(겨우살이),cat,1
밀(소맥),all,1
밀크 초콜릿,mammal,1
바나나,dog,1
바르비투르산염,bird,1
바베이도스 알로에,cat|dog,2
바비큐 위험 식품 섭취 의심,dog,1
반려·도시 적응 앵무의 중금속 노출원,bird,1
반려동물 약물의 오·과다 투여,mammal,1
발린,cat|dog,4
발작,mammal,1
발작(seizure),bird,1
발작(경련),all,1
발효 이스트 반죽(생 빵 반죽),mammal,2
발효 전 빵 반죽·피자 반죽(생 반죽),dog,1
배설물 내 혈액,bird,1
백합,cat|dog,5
백합(백합속),cat,1
백합류,cat,1
백합류(Japanese Show Lily),cat,1
백합류(Red Lily),cat,1
번식기 에너지 요구량,cat|dog,3
벚나무속 과일 씨(체리·천도복숭아·복숭아·자두),all,1
베고니아,dog,2
벤자민 고무나무,cat|dog,2
보리(대맥),all,1
복숭아,dog,2
