source_id,title,publisher,deleted_file,kind,bytes,sha256,gate_item,decision,clause_verbatim,url,collected_by,deleted_at,note
S-001,Plants Safe for Birds,VCA Animal Hospitals,snapshot/bird/S-001_plants-safe-for-birds.md,snapshot,11232,0f02ff84957f831a7063362950694b0bb86310b0701a2d7b445fbba718ad3d50,G1a,D-37,"""The use of artificial intelligence or automated tools to rewrite, republish, adapt, or repurpose this content, in whole or in part, is prohibited"" (LifeLearn 고지, 기사 하단)",https://vcahospitals.com/know-your-pet/plants-safe-for-birds,오한빈,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-002,Plants That are Toxic to Birds,VCA Animal Hospitals,snapshot/bird/S-002_plants-toxic-to-birds.md,snapshot,4901,a28b6144a2136ab0f1606a4abbb56b485752b07765e18acbe112c509d571a082,G1a,D-37,"""The use of artificial intelligence or automated tools to rewrite, republish, adapt, or repurpose this content, in whole or in part, is prohibited"" (LifeLearn 고지, 기사 하단)",https://vcahospitals.com/know-your-pet/plants---toxic-for-birds,오한빈,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-015,Avoiding Raw Food in Cats,VCA Animal Hospitals,snapshot/cat/S-015_avoiding-raw-food-in-cats.md,snapshot,7243,72f6312690c7d9425c4e34e10b0551c31013e6aada917cbab0f75cb27581189b,G1a,D-37,"""The use of artificial intelligence or automated tools to rewrite, republish, adapt, or repurpose this content, in whole or in part, is prohibited"" (LifeLearn 고지, 기사 하단)",https://vcahospitals.com/know-your-pet/avoiding-raw-food-in-cats,오한빈,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-017,Emergencies in Cats,VCA Animal Hospitals,snapshot/cat/S-017_emergencies-in-cats.md,snapshot,6764,56e7e172d3659936143a370ecfbfd72b3eea341d6c5e10dea6967805de59000b,G1a,D-37,"""The use of artificial intelligence or automated tools to rewrite, republish, adapt, or repurpose this content, in whole or in part, is prohibited"" (LifeLearn 고지, 기사 하단)",https://vcahospitals.com/know-your-pet/emergencies-in-cats,오한빈,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-018,First Aid for Cats,VCA Animal Hospitals,snapshot/cat/S-018_first-aid-for-cats.md,snapshot,4128,973d5193727d818dc3e5f201063c0b047d922a338d97d1c504720c09a0f63d0f,G1a,D-37,"""The use of artificial intelligence or automated tools to rewrite, republish, adapt, or repurpose this content, in whole or in part, is prohibited"" (LifeLearn 고지, 기사 하단)",https://vcahospitals.com/know-your-pet/first-aid-for-cats,오한빈,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-028,Plants Poisonous to Animals,Merck Veterinary Manual,snapshot/all/S-028_plants-poisonous-to-animals.md,snapshot,38868,b749af27eb063597b6ee50e7bb5faf10cd0a004e26585e1821e1f8bc5edd7ce5,G1a,D-37,"""use any manual or automated software ... to 'scrape', 'data mine', extract ... any data ... for any purpose, including but not limited to training, developing ... artificial intelligence models such as large language models""",https://www.merckvetmanual.com/special-pet-topics/poisoning/plants-poisonous-to-animals,이근준,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-031,ASPCA Plant Toxicity Info (정형 데이터셋),Kaggle / ASPCA 파생,raw/S-031_aspca-plant-toxicity/aspca-toxic-plants-dog-cat-horse.csv,raw,129916,920a6b836b2244cb7822963a9e0213ef5bbc31410f7dde05c1ed3d4d85780054,G2+DB권,D-34,"업로더가 ASPCA 스크랩본에 임의 라이선스 부여 — 상류 권리 결여. 원본 ASPCA 약관 ""must not copy, download, reproduce ... store, create derivative works of"". 1,896행 전량은 저작권법 제93조 데이터베이스제작자 권리 대상",https://www.kaggle.com/datasets/pelinkeskin/aspca-plant-toxicity-info,이근준,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-049,Daily Maintenance Energy Requirements for Dogs and Cats,Merck Veterinary Manual,snapshot/mammal/S-049_daily-maintenance-energy-requirements-dogs-cats.md,snapshot,1163,ee38a4532b18e761672d3ff4ffd0488021ce6204fffc1da2c96ffe125c30c7a1,G1a,D-37,"""use any manual or automated software ... to 'scrape', 'data mine', extract ... any data ... for any purpose, including but not limited to training, developing ... artificial intelligence models such as large language models""",https://www.merckvetmanual.com/multimedia/table/daily-maintenance-energy-requirements-for-dogs-and-cats,권소라,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-050,Nutritional Requirements of Small Animals,Merck Veterinary Manual,snapshot/mammal/S-050_nutritional-requirements-of-small-animals.md,snapshot,33147,571892e9e5dc2c5cd50eaf9d519f949182cc588e14efec55ebbb12b98957163d,G1a,D-37,"""use any manual or automated software ... to 'scrape', 'data mine', extract ... any data ... for any purpose, including but not limited to training, developing ... artificial intelligence models such as large language models""",https://www.merckvetmanual.com/management-and-nutrition/nutrition-small-animals/nutritional-requirements-of-small-animals,권소라,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
S-057,Household Hazards for Pet Birds,Merck Veterinary Manual,snapshot/bird/S-057_household-hazards-for-pet-birds.md,snapshot,3161,c565e376eb263d4aae732fdac7208cc9fcfc359262e3a28d64cd330e22eddf1f,G1a,D-37,"""use any manual or automated software ... to 'scrape', 'data mine', extract ... any data ... for any purpose, including but not limited to training, developing ... artificial intelligence models such as large language models""",https://www.merckvetmanual.com/bird-owners/routine-care-and-safety-of-birds/household-hazards-for-pet-birds,권소라,2026-07-31,코퍼스·아카이브에서 완전 삭제. 출처 정보는 SOURCES_CITED.csv 및 원장 gate_verdict 컬럼에 존치
